G:\openCV_Projects\Self_driving_Car\DATA\IMG\center_2019_08_21_20_30_27_310.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\left_2019_08_21_20_30_27_310.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\right_2019_08_21_20_30_27_310.jpg, 0, 0, 0, 3.240338
G:\openCV_Projects\Self_driving_Car\DATA\IMG\center_2019_08_21_20_30_27_416.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\left_2019_08_21_20_30_27_416.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\right_2019_08_21_20_30_27_416.jpg, 0, 0, 0, 3.207821
G:\openCV_Projects\Self_driving_Car\DATA\IMG\center_2019_08_21_20_30_27_521.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\left_2019_08_21_20_30_27_521.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\right_2019_08_21_20_30_27_521.jpg, 0, 0, 0, 3.175631
G:\openCV_Projects\Self_driving_Car\DATA\IMG\center_2019_08_21_20_30_27_627.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\left_2019_08_21_20_30_27_627.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\right_2019_08_21_20_30_27_627.jpg, 0, 0, 0, 3.143763
G:\openCV_Projects\Self_driving_Car\DATA\IMG\center_2019_08_21_20_30_27_735.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\left_2019_08_21_20_30_27_735.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\right_2019_08_21_20_30_27_735.jpg, 0, 0.1825472, 0, 3.177428
G:\openCV_Projects\Self_driving_Car\DATA\IMG\center_2019_08_21_20_30_27_842.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\left_2019_08_21_20_30_27_842.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\right_2019_08_21_20_30_27_842.jpg, 0, 0.4803738, 0, 3.584904
G:\openCV_Projects\Self_driving_Car\DATA\IMG\center_2019_08_21_20_30_27_943.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\left_2019_08_21_20_30_27_943.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\right_2019_08_21_20_30_27_943.jpg, 0, 0.7840194, 0, 4.342016
G:\openCV_Projects\Self_driving_Car\DATA\IMG\center_2019_08_21_20_30_28_050.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\left_2019_08_21_20_30_28_050.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\right_2019_08_21_20_30_28_050.jpg, 0, 1, 0, 5.658519
G:\openCV_Projects\Self_driving_Car\DATA\IMG\center_2019_08_21_20_30_28_155.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\left_2019_08_21_20_30_28_155.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\right_2019_08_21_20_30_28_155.jpg, 0, 1, 0, 6.808213
G:\openCV_Projects\Self_driving_Car\DATA\IMG\center_2019_08_21_20_30_28_261.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\left_2019_08_21_20_30_28_261.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\right_2019_08_21_20_30_28_261.jpg, 0, 1, 0, 7.946752
G:\openCV_Projects\Self_driving_Car\DATA\IMG\center_2019_08_21_20_30_28_365.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\left_2019_08_21_20_30_28_365.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\right_2019_08_21_20_30_28_365.jpg, 0, 0.9302643, 0, 9.070798
G:\openCV_Projects\Self_driving_Car\DATA\IMG\center_2019_08_21_20_30_28_469.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\left_2019_08_21_20_30_28_469.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\right_2019_08_21_20_30_28_469.jpg, 0, 0.5805439, 0, 10.01099
G:\openCV_Projects\Self_driving_Car\DATA\IMG\center_2019_08_21_20_30_28_570.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\left_2019_08_21_20_30_28_570.jpg, G:\openCV_Projects\Self_driving_Car\DATA\IMG\right_2019_08_21_20_30_28_570.jpg, 0, 0.8849023, 0, 10.81336
